job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
19-081,Complete,PCSPHOSP,2019-08-27T00:00:00,T2203 VSEP FEED TANK A,T2203 VSEP FEED TANK A,,1,60075.00,60075.00,1,ea,ea,,2101119348,
19-082,Complete,ROSENBLAD,2019-08-28T00:00:00,EVAPORATOR EFFECT VESSEL 1,EVAPORATOR EFFECT VESSEL 1,,1,112142.50,112142.50,1,ea,ea,,3354 G1734 02,
19-083,Complete,ROSENBLAD,2019-08-28T00:00:00,EVAPORATOR EFFECT VESSEL 2,EVAPORATOR EFFECT VESSEL 2,,1,117587.50,117587.50,1,ea,ea,,3354 G1734 02,
19-084,Complete,ROSENBLAD,2019-08-28T00:00:00,EVAPORATOR EFFECT VESSEL 3,EVAPORATOR EFFECT VESSEL 3,,1,116902.50,116902.50,1,ea,ea,,3354 G1734 02,
19-085,Complete,GAF11111,2019-09-10T00:00:00,SST SKI PLATE,SST SKI PLATE,,1,350.00,350.00,1,ea,ea,,VERBAL,
19-086,Complete,YATECONS,2019-09-20T00:00:00,MC PULP STORAGE TK 520-V-5201,MC PULP STORAGE TK 520-V-5201,,1,205600.00,205600.00,3,ea,ea,,2091000012,
19-087,Complete,YATECONS,2019-09-20T00:00:00,RETENTION TK 335-V-3333,RETENTION TK 335-V-3333,,1,195925.00,195925.00,3,ea,ea,,2091000012,
19-088,Complete,YATECONS,2019-09-20T00:00:00,FILTRATE TK 370-V-3780,FILTRATE TK 370-V-3780,,1,144775.00,144775.00,3,ea,ea,,2091000012,
19-089,Complete,YATECONS,2019-09-20T00:00:00,CO-PRODUCT TK 660-V-6642,CO-PRODUCT TK 660-V-6642,,1,107275.00,107275.00,1,ea,ea,,2091000012,
19-090,Complete,YATECONS,2019-09-20T00:00:00,CAUSTIC SUPPLY TK 700-V-1414,CAUSTIC SUPPLY TK 700-V-1414,,1,72125.00,72125.00,2,ea,ea,,2091000012,
19-091,Complete,YATECONS,2019-09-20T00:00:00,PEROXIDE SUPPLY TK 700-V-1416,PEROXIDE SUPPLY TK 700-V-1416,,1,113950.00,113950.00,1,ea,ea,,2091000012,
19-092,Complete,YATECONS,2019-09-20T00:00:00,WET LAP WW TK 530-V-5312,WET LAP WW TK 530-V-5312,,1,36300.00,36300.00,1,ea,ea,,2091000012,
19-093,Complete,YATECONS,2019-09-20T00:00:00,BROKE TANK 540-V-5421,BROKE TANK 540-V-5421,,1,50275.00,50275.00,1,ea,ea,,2091000012,
19-094,Complete,YATECONS,2019-09-20T00:00:00,WARM WATER TK 540-V-5420,WARM WATER TK 540-V-5420,,1,22075.00,22075.00,1,ea,ea,,2091000012,
19-095,Complete,YATECONS,2019-09-20T00:00:00,MIX TANK A 330-V-3322,MIX TANK A 330-V-3322,,1,119850.00,119850.00,1,ea,ea,,2091000012,
19-096,Complete,YATECONS,2019-09-20T00:00:00,MIX TANK B 330-V-3326,MIX TANK B 330-V-3326,,1,119850.00,119850.00,1,ea,ea,,2091000012,
19-097,Complete,YATECONS,2019-09-20T00:00:00,REFINER TANK 350-V-3558,REFINER TANK 350-V-3558,,1,64375.00,64375.00,1,ea,ea,,2091000012,
19-098,Complete,YATECONS,2019-09-20T00:00:00,REJECTS TRANSFER TK 360-V-3673,REJECTS TRANSFER TK 360-V-3673,,1,28200.00,28200.00,1,ea,ea,,2091000012,
19-099,Complete,YATECONS,2019-09-20T00:00:00,PRIMARY SCR FEED TK 360-V-3663,PRIMARY SCR FEED TK 360-V-3663,,1,57375.00,57375.00,1,ea,ea,,2091000012,
19-100,Complete,YATECONS,2019-09-20T00:00:00,SECONDARY SCR FD TK 360-V-3668,SECONDARY SCR FD TK 360-V-3668,,1,33100.00,33100.00,1,ea,ea,,2091000012,
19-101,Complete,YATECONS,2019-09-20T00:00:00,DILUTION COL TANK 570-V-5651,DILUTION COL TANK 570-V-5651,,1,35800.00,35800.00,1,ea,ea,,2091000012,
19-102,Complete,YATECONS,2019-09-20T00:00:00,FAN PUMP STANDPIPE 570-V-5701,FAN PUMP STANDPIPE 570-V-5701,,1,38250.00,38250.00,1,ea,ea,,2091000012,
19-103,Complete,YATECONS,2019-09-20T00:00:00,TFX FEED LOOP TK 570-V-5705,TFX FEED LOOP TK 570-V-5705,,1,58925.00,58925.00,1,ea,ea,,2091000012,
19-104,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703A,MACHINE TANK 570-V-5703A,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-105,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703B,MACHINE TANK 570-V-5703B,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-106,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703C,MACHINE TANK 570-V-5703C,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-107,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703D,MACHINE TANK 570-V-5703D,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-108,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703E,MACHINE TANK 570-V-5703E,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-109,Complete,YATECONS,2019-09-20T00:00:00,MACHINE TANK 570-V-5703F,MACHINE TANK 570-V-5703F,,1,12315.00,12315.00,1,ea,ea,,2091000012,
19-110,Complete,YATECONS,2019-09-20T00:00:00,WW RETURN TANK 560-V-5630,WW RETURN TANK 560-V-5630,,1,20200.00,20200.00,1,ea,cyl,,2091000012,
