job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
19-011,LIGHT ENDS RECEIVER TANK T-206,PINOVAIN,1,50.75,0.00,50.75,0.00,0.00,0.00,0.00,0.00,0.00
19-012,MELTED GUM RESIDENT TANK T-203,PINOVAIN,1,81.50,0.00,81.50,4.00,0.00,4.00,0.00,0.00,0.00
19-013,MELTED GUM REFLUX TANK T-207,PINOVAIN,1,98.25,0.00,98.25,0.00,0.00,0.00,0.00,0.00,0.00
19-014,BOOSTER SEPARATOR TANK,ANDRITZI,1,55.50,0.00,55.50,0.00,0.00,0.00,0.00,0.00,0.00
19-015,1600 GL PEROXIDE DILUTION TANK,DOMTPAPE,1,137.00,0.00,137.00,0.00,0.00,0.00,0.00,0.00,0.00
19-025,R-3101 WASTE RECOVERY REACTOR,AJAYNAMER,1,141.50,0.00,141.50,23.50,0.00,23.50,0.00,0.00,0.00
19-027,"8,500 AKD STORAGE TANK",FLOQENGI,1,107.00,0.00,107.00,6.00,0.00,6.00,0.00,0.00,0.00
19-028,"8,500 AKD STORAGE TANK",FLOQENGI,1,104.50,0.00,104.50,4.00,0.00,4.00,0.00,0.00,0.00
19-029,"8,500 AKD STORAGE TANK",FLOQENGI,1,96.75,0.00,96.75,0.00,0.00,0.00,0.00,0.00,0.00
19-030,"8,500 AKD STORAGE TANK",FLOQENGI,1,103.75,0.00,103.75,1.00,0.00,1.00,0.00,0.00,0.00
19-031,"18"" SPOOL ASSEMBLY",S&STECHN,1,131.75,0.00,131.75,15.50,0.00,15.50,0.00,0.00,0.00
19-032,"18"" SPOOL ASSEMBLY",S&STECHN,1,114.75,0.00,114.75,22.00,0.00,22.00,0.00,0.00,0.00
19-033,"18"" SPOOL ASSEMBLY",S&STECHN,1,150.00,0.00,150.00,24.00,0.00,24.00,0.00,0.00,0.00
19-034,"18"" SPOOL ASSEMBLY",S&STECHN,1,128.75,0.00,128.75,10.00,0.00,10.00,0.00,0.00,0.00
19-035,"24"" SPOOL ASSEMBLY",S&STECHN,1,92.25,0.00,92.25,10.00,0.00,10.00,0.00,0.00,0.00
19-036,"24"" SPOOL ASSEMBLY",S&STECHN,1,86.25,0.00,86.25,10.00,0.00,10.00,0.00,0.00,0.00
19-038,OXIDIZER R-3 / EXT WARRANTY,KEMIWATE,1,315.75,0.00,315.75,94.50,0.00,94.50,0.00,0.00,0.00
19-039,REACTOR R-3,KEMIWATE,1,44.25,0.00,44.25,8.00,0.00,8.00,0.00,0.00,0.00
19-040,23000 GAL SST API TANK (T-902),KRATCHEM,1,139.50,0.00,139.50,15.00,0.00,15.00,0.00,0.00,0.00
19-042,"39,500 GAL STORAGE TANK TBT-80",MILLIKEN,1,124.50,0.00,124.50,16.00,0.00,16.00,0.00,0.00,0.00
19-043,"39,500 GAL STORAGE TANK TBT-09",MILLIKEN,1,102.50,0.00,102.50,53.00,0.00,53.00,0.00,0.00,0.00
19-044,INTERSTAGE LIQUID TRAP (UDOO1),S&STECHN,1,61.25,0.00,61.25,7.50,0.00,7.50,0.00,0.00,0.00
