25-170,5,Clean & Prep Parts,PRE FAB,3,1,S,2026-01-02 00:00:00.000
25-170,6,"Bld Lift Lugs, Grd Lugs",PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,7,Fab Miscellaneous Parts,PRE FAB,2,2,S,2026-01-02 00:00:00.000
25-170,8,Misc Fabrication,PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-170,9,Wrap Top & Bottom Heads,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,10,UT Shells,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,11,"BI, SQ, T&C Shells",PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,12,"Roll Shell, Tack-Weld I/S",PRE FAB,3,0,O,2026-01-02 00:00:00.000
25-170,13,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,14,Set Nozzles & Lugs - Top,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,15,Weld Nozzles - Top Head,PRE FAB,3,0,O,2026-01-02 00:00:00.000
25-170,16,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,17,Set Nozzles - Bottom Head,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,18,Weld Nozzles - Bot. Head,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-170,19,"Bld Skirt, Roll & Tack",PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-170,20,"Bld Skirt, Fit Anchor/Gst",FIT,1,1,S,2026-01-02 00:00:00.000
25-170,21,"Weld Skirt Nozzles, Etc.",FIT,1,1,S,2026-01-02 00:00:00.000
25-170,22,ASME Hold Point,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,23,Fit Bottom Head to Shell,FIT,4,0,O,2026-01-02 00:00:00.000
25-170,24,Install Baffles-Weld,FIT,6,0,O,2026-01-02 00:00:00.000
25-170,25,Install Internal Parts,FIT,3,0,O,2026-01-02 00:00:00.000
25-170,26,QC Inspection - Internal,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,27,Fit Top to Shell,FIT,1,0,O,2026-01-02 00:00:00.000
25-170,28,Weld all Outside Seams,FIT,2,0,O,2026-01-02 00:00:00.000
25-170,29,Move Tank to Detail Rolls,MOVE TANK,1,0,O,2026-01-02 00:00:00.000
25-170,30,Install Support Parts,FIT,4,0,O,2026-01-02 00:00:00.000
25-170,31,Set Nozzles in Shell,FIT,1,0,O,2026-01-02 00:00:00.000
25-170,32,Weld Shell Nozz & M/Ws,FIT,3,0,O,2026-01-02 00:00:00.000
25-170,33,Install Name Tag,FINISHING,1,0,O,2026-01-02 00:00:00.000
25-170,34,"Inspect Tank, Make Repair",FIT,1,0,O,2026-01-02 00:00:00.000
25-170,35,QC Inspection - Fab,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,36,ASME Inspection Internal,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,37,Move to Shop Test Area,MOVE TANK,1,0,O,2026-01-02 00:00:00.000
25-170,38,Test Tank,FINISHING,4,0,O,2026-01-02 00:00:00.000
25-170,39,QC Inspection - Test,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,40,ASME Inspection Test,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,41,Clean Tank Complete,FINISHING,5,0,O,2026-01-02 00:00:00.000
25-170,42,QC Inspection - Clean,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,43,Prepare Tank for Shipment,FINISHING,1,0,O,2026-01-02 00:00:00.000
25-170,44,QC Inspection - Final & L,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,45,Load on Truck,SHIPPING,1,0,O,2026-01-02 00:00:00.000
25-171,0,Receive Material,PRE FAB,0,0,O,2026-01-02 00:00:00.000
25-171,1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,2,Cut Nozzle Pipe and Clean,PRE FAB,2,0.5,S,2026-01-02 00:00:00.000
25-171,3,Build Nozzles-Weld,PRE FAB,4,0,O,2026-01-02 00:00:00.000
25-171,4,Cut Parts on Burn Table,PRE FAB,6,1,S,2026-01-02 00:00:00.000
25-171,5,Clean & Prep Parts,PRE FAB,3,1,S,2026-01-02 00:00:00.000
25-171,6,"Bld Lift Lugs, Grd Lugs",PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,7,Fab Miscellaneous Parts,PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-171,8,Misc Fabrication,PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-171,9,Wrap Top & Bottom Heads,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,10,UT Shells,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,11,"BI, SQ, T&C Shells",PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,12,"Roll Shell, Tack-Weld I/S",PRE FAB,3,0,O,2026-01-02 00:00:00.000
25-171,13,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,14,Set Nozzles & Lugs - Top,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,15,Weld Nozzles - Top Head,PRE FAB,3,0,O,2026-01-02 00:00:00.000
25-171,16,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,17,Set Nozzles - Bottom Head,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,18,Weld Nozzles - Bot. Head,PRE FAB,1,0,O,2026-01-02 00:00:00.000
25-171,19,"Bld Skirt, Roll & Tack",PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-171,20,"Bld Skirt, Fit Anchor/Gst",FIT,1,1,S,2026-01-02 00:00:00.000
25-171,21,"Weld Skirt Nozzles, Etc.",FIT,1,1,S,2026-01-02 00:00:00.000
25-171,22,ASME Hold Point,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,23,Fit Bottom Head to Shell,FIT,4,0,O,2026-01-02 00:00:00.000
25-171,24,Install Baffles-Weld,FIT,6,0,O,2026-01-02 00:00:00.000
25-171,25,Install Internal Parts,FIT,3,0,O,2026-01-02 00:00:00.000
25-171,26,QC Inspection - Internal,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,27,Fit Top to Shell,FIT,1,0,O,2026-01-02 00:00:00.000
25-171,28,Weld all Outside Seams,FIT,2,0,O,2026-01-02 00:00:00.000
25-171,29,Move Tank to Detail Rolls,MOVE TANK,1,0,O,2026-01-02 00:00:00.000
25-171,30,Install Support Parts,FIT,4,0,O,2026-01-02 00:00:00.000
25-171,31,Set Nozzles in Shell,FIT,1,0,O,2026-01-02 00:00:00.000
25-171,32,Weld Shell Nozz & M/Ws,FIT,3,0,O,2026-01-02 00:00:00.000
25-171,33,Install Name Tag,FINISHING,1,0,O,2026-01-02 00:00:00.000
25-171,34,"Inspect Tank, Make Repair",FIT,1,0,O,2026-01-02 00:00:00.000
25-171,35,QC Inspection - Fab,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,36,ASME Inspection Internal,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,37,Move to Shop Test Area,MOVE TANK,1,0,O,2026-01-02 00:00:00.000
25-171,38,Test Tank,FINISHING,4,0,O,2026-01-02 00:00:00.000
25-171,39,QC Inspection - Test,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,40,ASME Inspection Test,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,41,Clean Tank Complete,FINISHING,5,0,O,2026-01-02 00:00:00.000
25-171,42,QC Inspection - Clean,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,43,Prepare Tank for Shipment,FINISHING,1,0,O,2026-01-02 00:00:00.000
25-171,44,QC Inspection - Final & L,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-171,45,Load on Truck,SHIPPING,1,0,O,2026-01-02 00:00:00.000
25-308,0,Receive Material,PRE FAB,0,0,O,2026-01-02 00:00:00.000
25-308,1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-308,2,Cut Nozzle Pipe and Clean,PRE FAB,2,1,S,2026-01-02 00:00:00.000
25-308,3,Build Nozzles-Weld,PRE FAB,4,0,O,2026-01-02 00:00:00.000
25-308,4,Cut Parts on Burn Table,PRE FAB,6,0,O,2026-01-02 00:00:00.000
