Job,Customer,Description,Status,Order_Date,Type,Est_Total_Hrs,Act_Total_Hrs,Total_Price
25-177,VERTCORP,BUFFER TANK 54 OF 224,Active,00:00.0,Regular,74,6.5,20500
25-178,VERTCORP,BUFFER TANK 55 OF 224,Active,00:00.0,Regular,74,5.75,20500
25-179,VERTCORP,BUFFER TANK 56 OF 224,Active,00:00.0,Regular,74,9.5,20500
25-180,VERTCORP,BUFFER TANK 57 OF 224,Active,00:00.0,Regular,74,5.5,20500
25-181,VERTCORP,BUFFER TANK 58 OF 224,Active,00:00.0,Regular,74,5.5,20500
25-150,VERTCORP,BUFFER TANK 27 OF 224,Active,00:00.0,Regular,74,31,20500
25-155,VERTCORP,BUFFER TANK 32 OF 224,Active,00:00.0,Regular,74,17,20500
25-156,VERTCORP,BUFFER TANK 33 OF 224,Active,00:00.0,Regular,74,15,20500
25-174,VERTCORP,BUFFER TANK 51 OF 224,Active,00:00.0,Regular,74,18,20500
25-154,VERTCORP,BUFFER TANK 31 OF 224,Active,00:00.0,Regular,74,30,20500
25-165,VERTCORP,BUFFER TANK 42 OF 224,Active,00:00.0,Regular,74,13,20500
25-166,VERTCORP,BUFFER TANK 43 OF 224,Active,00:00.0,Regular,74,13,20500
25-167,VERTCORP,BUFFER TANK 44 OF 224,Active,00:00.0,Regular,74,13,20500
25-168,VERTCORP,BUFFER TANK 45 OF 224,Active,00:00.0,Regular,74,13,20500
25-169,VERTCORP,BUFFER TANK 46 OF 224,Active,00:00.0,Regular,74,23,20500
25-151,VERTCORP,BUFFER TANK 28 OF 224,Active,00:00.0,Regular,74,20,20500
25-159,VERTCORP,BUFFER TANK 36 OF 224,Active,00:00.0,Regular,74,19.5,20500
25-344,VERTCORP,BUFFER TANK 221 OF 224,Active,00:00.0,Regular,74,2,20500
25-345,VERTCORP,BUFFER TANK 222 OF 224,Active,00:00.0,Regular,74,2,20500
25-346,VERTCORP,BUFFER TANK 223 OF 224,Active,00:00.0,Regular,74,2,20500
25-184,VERTCORP,BUFFER TANK 61 OF 224,Active,00:00.0,Regular,74,2,20500
25-185,VERTCORP,BUFFER TANK 62 OF 224,Active,00:00.0,Regular,74,2,20500
25-186,VERTCORP,BUFFER TANK 63 OF 224,Active,00:00.0,Regular,74,2,20500
25-187,VERTCORP,BUFFER TANK 64 OF 224,Active,00:00.0,Regular,74,2,20500
25-188,VERTCORP,BUFFER TANK 65 OF 224,Active,00:00.0,Regular,74,2,20500
25-189,VERTCORP,BUFFER TANK 66 OF 224,Active,00:00.0,Regular,74,2,20500
25-190,VERTCORP,BUFFER TANK 67 OF 224,Active,00:00.0,Regular,74,2,20500
25-191,VERTCORP,BUFFER TANK 68 OF 224,Active,00:00.0,Regular,74,2,20500
25-192,VERTCORP,BUFFER TANK 69 OF 224,Active,00:00.0,Regular,74,2,20500
25-193,VERTCORP,BUFFER TANK 70 OF 224,Active,00:00.0,Regular,74,2,20500
25-194,VERTCORP,BUFFER TANK 71 OF 224,Active,00:00.0,Regular,74,2,20500
25-195,VERTCORP,BUFFER TANK 72 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-196,VERTCORP,BUFFER TANK 73 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-197,VERTCORP,BUFFER TANK 74 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-198,VERTCORP,BUFFER TANK 75 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-199,VERTCORP,BUFFER TANK 76 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-200,VERTCORP,BUFFER TANK 77 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-201,VERTCORP,BUFFER TANK 78 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-157,VERTCORP,BUFFER TANK 34 OF 224,Active,00:00.0,Regular,74,13,20500
25-158,VERTCORP,BUFFER TANK 35 OF 224,Active,00:00.0,Regular,74,12.75,20500
25-202,VERTCORP,BUFFER TANK 79 OF 224,Active,00:00.0,Regular,74,2.75,20500
25-203,VERTCORP,BUFFER TANK 80 OF 224,Active,00:00.0,Regular,74,2.75,20500
25-160,VERTCORP,BUFFER TANK 37 OF 224,Active,00:00.0,Regular,74,13,20500
25-161,VERTCORP,BUFFER TANK 38 OF 224,Active,00:00.0,Regular,74,16.5,20500
25-162,VERTCORP,BUFFER TANK 39 OF 224,Active,00:00.0,Regular,74,15.5,20500
25-163,VERTCORP,BUFFER TANK 40 OF 224,Active,00:00.0,Regular,74,16,20500
25-204,VERTCORP,BUFFER TANK 81 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-205,VERTCORP,BUFFER TANK 82 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-206,VERTCORP,BUFFER TANK 83 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-207,VERTCORP,BUFFER TANK 84 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-208,VERTCORP,BUFFER TANK 85 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-209,VERTCORP,BUFFER TANK 86 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-210,VERTCORP,BUFFER TANK 87 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-211,VERTCORP,BUFFER TANK 88 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-212,VERTCORP,BUFFER TANK 89 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-213,VERTCORP,BUFFER TANK 90 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-182,VERTCORP,BUFFER TANK 59 OF 224,Active,00:00.0,Regular,74,3.5,20500
25-183,VERTCORP,BUFFER TANK 60 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-123,KIMBCLAR,BACKWATER TANK,Active,00:00.0,Regular,0,0,108000
25-274,VERTCORP,BUFFER TANK 151 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-275,VERTCORP,BUFFER TANK 152 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-276,VERTCORP,BUFFER TANK 153 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-277,VERTCORP,BUFFER TANK 154 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-278,VERTCORP,BUFFER TANK 155 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-279,VERTCORP,BUFFER TANK 156 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-280,VERTCORP,BUFFER TANK 157 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-281,VERTCORP,BUFFER TANK 158 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-282,VERTCORP,BUFFER TANK 159 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-283,VERTCORP,BUFFER TANK 160 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-273,VERTCORP,BUFFER TANK 150 OF 224,Active,00:00.0,Regular,74,0,20500
25-347,VERTCORP,BUFFER TANK 224 OF 224,Active,00:00.0,Regular,74,0,20500
25-350,VERTCORP,EXP TANK SHIPMENT 3 (44),Active,00:00.0,Regular,0,0,72600
25-351,VERTCORP,EXP TANK SHIPMENT 4 (28),Active,00:00.0,Regular,0,0,46200
25-352,VERTCORP,EXP TANK SHIPMENT 5 (32),Active,00:00.0,Regular,0,0,52800
25-353,VERTCORP,EXP TANK SHIPMENT 6 (28),Active,00:00.0,Regular,0,0,46200
25-355,VERTCORP,EXP TANK SHIPMENT 8 (12),Active,00:00.0,Regular,0,0,19800
25-284,VERTCORP,BUFFER TANK 161 OF 224,Active,00:00.0,Regular,74,1,20500
25-285,VERTCORP,BUFFER TANK 162 OF 224,Active,00:00.0,Regular,74,1,20500
25-286,VERTCORP,BUFFER TANK 163 OF 224,Active,00:00.0,Regular,74,1,20500
25-287,VERTCORP,BUFFER TANK 164 OF 224,Active,00:00.0,Regular,74,1,20500
25-288,VERTCORP,BUFFER TANK 165 OF 224,Active,00:00.0,Regular,74,1,20500
25-289,VERTCORP,BUFFER TANK 166 OF 224,Active,00:00.0,Regular,74,1,20500
25-290,VERTCORP,BUFFER TANK 167 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-291,VERTCORP,BUFFER TANK 168 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-292,VERTCORP,BUFFER TANK 169 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-293,VERTCORP,BUFFER TANK 170 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-294,VERTCORP,BUFFER TANK 171 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-295,VERTCORP,BUFFER TANK 172 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-214,VERTCORP,BUFFER TANK 91 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-216,VERTCORP,BUFFER TANK 93 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-217,VERTCORP,BUFFER TANK 94 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-218,VERTCORP,BUFFER TANK 95 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-219,VERTCORP,BUFFER TANK 96 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-220,VERTCORP,BUFFER TANK 97 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-221,VERTCORP,BUFFER TANK 98 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-222,VERTCORP,BUFFER TANK 99 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-223,VERTCORP,BUFFER TANK 100 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-225,VERTCORP,BUFFER TANK 102 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-226,VERTCORP,BUFFER TANK 103 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-227,VERTCORP,BUFFER TANK 104 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-228,VERTCORP,BUFFER TANK 105 OF 224,Active,00:00.0,Regular,74,1,20500
25-229,VERTCORP,BUFFER TANK 106 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-230,VERTCORP,BUFFER TANK 107 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-231,VERTCORP,BUFFER TANK 108 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-232,VERTCORP,BUFFER TANK 109 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-233,VERTCORP,BUFFER TANK 110 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-234,VERTCORP,BUFFER TANK 111 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-236,VERTCORP,BUFFER TANK 113 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-237,VERTCORP,BUFFER TANK 114 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-238,VERTCORP,BUFFER TANK 115 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-239,VERTCORP,BUFFER TANK 116 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-240,VERTCORP,BUFFER TANK 117 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-241,VERTCORP,BUFFER TANK 118 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-242,VERTCORP,BUFFER TANK 119 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-224,VERTCORP,BUFFER TANK 101 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-235,VERTCORP,BUFFER TANK 112 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-215,VERTCORP,BUFFER TANK 92 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-296,VERTCORP,BUFFER TANK 173 OF 224,Active,00:00.0,Regular,74,1,20500
25-297,VERTCORP,BUFFER TANK 174 OF 224,Active,00:00.0,Regular,74,1,20500
25-298,VERTCORP,BUFFER TANK 175 OF 224,Active,00:00.0,Regular,74,1,20500
25-299,VERTCORP,BUFFER TANK 176 OF 224,Active,00:00.0,Regular,74,1,20500
25-300,VERTCORP,BUFFER TANK 177 OF 224,Active,00:00.0,Regular,74,1,20500
25-301,VERTCORP,BUFFER TANK 178 OF 224,Active,00:00.0,Regular,74,1,20500
25-302,VERTCORP,BUFFER TANK 179 OF 224,Active,00:00.0,Regular,74,1,20500
