25-016,KIMBCLAR,370-TK-37001,Complete,NULL,SHERRI,2026-03-19 11:43:31.000,2025-01-28 00:00:00.000
25-019,KIMBCLAR,520-TK-52001,Complete,NULL,SHERRI,2026-03-19 11:43:31.000,2025-01-28 00:00:00.000
25-011,KIMBCLAR,230-TK-23001,Complete,NULL,SHERRI,2026-03-19 11:41:53.000,2025-01-28 00:00:00.000
26-015,FLOQENGI,R2 REACTOR,Active,NULL,SHERRI,2026-03-19 11:38:52.000,2026-01-13 00:00:00.000
25-107,EPICSYST,T-113,Active,NULL,SHERRI,2026-03-19 11:36:20.000,2025-10-31 00:00:00.000
25-108,EPICSYST,T-114,Active,NULL,SHERRI,2026-03-19 11:36:20.000,2025-10-31 00:00:00.000
25-103,EPICSYST,T-104,Active,NULL,SHERRI,2026-03-19 10:41:46.000,2025-10-31 00:00:00.000
25-104,EPICSYST,T-103,Active,NULL,SHERRI,2026-03-19 10:41:46.000,2025-10-31 00:00:00.000
25-115,EPICSYST,V-104,Active,NULL,SHERRI,2026-03-19 08:31:29.000,2025-10-31 00:00:00.000
25-113,EPICSYST,T-120,Active,NULL,SHERRI,2026-03-19 08:31:13.000,2025-10-31 00:00:00.000
25-112,EPICSYST,T-118B,Active,NULL,SHERRI,2026-03-19 08:30:56.000,2025-10-31 00:00:00.000
25-111,EPICSYST,T-118A,Active,NULL,SHERRI,2026-03-19 08:30:36.000,2025-10-31 00:00:00.000
25-110,EPICSYST,T-117,Active,NULL,SHERRI,2026-03-19 08:30:20.000,2025-10-31 00:00:00.000
25-109,EPICSYST,V-117,Active,NULL,SHERRI,2026-03-19 08:29:54.000,2025-10-31 00:00:00.000
25-159,VERTCORP,BUFFER TANK 36 OF 224,Active,NULL,SCOTT,2026-03-19 07:41:47.000,2025-12-15 00:00:00.000
25-151,VERTCORP,BUFFER TANK 28 OF 224,Active,NULL,SCOTT,2026-03-19 07:09:24.000,2025-12-15 00:00:00.000
25-105,EPICSYST,T-105,Active,NULL,SHERRI,2026-03-18 16:39:50.000,2025-10-31 00:00:00.000
26-026,ANDRITZI,STEAM PIPE REPAIR PIECES,Active,NULL,NICK,2026-03-18 16:31:36.000,2026-03-16 00:00:00.000
25-132,VERTCORP,BUFFER TANK 9 OF 224,Active,NULL,APRIL,2026-03-18 16:30:06.000,2025-12-15 00:00:00.000
26-022,ANDRITZI,WASH LIQUOR FLASH TANK,Active,NULL,SHERRI,2026-03-18 12:57:26.000,2026-02-17 00:00:00.000
25-357,SYLVAMO,SEAL TANK STAND PIPE,Active,NULL,SHERRI,2026-03-18 12:50:58.000,2025-12-30 00:00:00.000
25-358,SYLVAMO,RECTANGULAR SEAL TANK,Active,NULL,SHERRI,2026-03-18 12:50:58.000,2025-12-30 00:00:00.000
25-074,KEMIRAWS,T306 FERRIC SULFATE STORAGE TANK,Complete,NULL,SHERRI,2026-03-18 12:45:44.000,2025-06-17 00:00:00.000
26-023,SAVATANK,DEMO TANK,Active,NULL,SHERRI,2026-03-18 11:18:09.000,2026-03-05 00:00:00.000
25-123,KIMBCLAR,BACKWATER TANK,Active,NULL,SHERRI,2026-03-17 11:22:35.000,2025-12-15 00:00:00.000
25-182,VERTCORP,BUFFER TANK 59 OF 224,Active,NULL,SCOTT,2026-03-17 08:20:40.000,2025-12-15 00:00:00.000
