Job,Sequence,Work_Center,Description,Est_Setup_Hrs,Est_Run_Hrs,Est_Total_Hrs,Act_Setup_Hrs,Act_Run_Hrs,Est_Setup_Labor,Est_Run_Labor,Act_Setup_Labor,Act_Run_Labor,Est_Labor_Burden,Act_Labor_Burden,Est_Machine_Burden,Act_Machine_Burden,Est_Total_Cost,Act_Total_Cost,Status,Run_Pct_Complete,Setup_Pct_Complete,Due_Date,Sched_Start,Sched_End,Actual_Start,Act_Total_Hrs
23-002,51,INSPECTION,QC Inspection - Fab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,52,MOVE TANK,Move to Shop Test Area,0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,58.0,92.0,133.4,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-17 06:00:00,2.0
23-002,53,FINISHING,Test Tank,0.0,12.0,12.0,0.0,7.0,0.0,240.0,0.0,206.25,552.0,354.2,0.0,0.0,0.0,0.0,C,75.0,0.0,,,,2023-08-17 06:00:00,7.0
23-002,54,INSPECTION,QC Inspection - Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,55,MOVE TANK,Move to Paint Area,0.0,2.0,2.0,0.0,3.0,0.0,40.0,0.0,67.0,92.0,154.1,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-21 06:00:00,3.0
23-002,56,INSPECTION,QC Inspection - Sandblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,57,INSPECTION,QC Inspection - Paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,58,FINISHING,Prepare Tank for Shipment,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,66.0,138.0,151.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-09-05 06:00:00,3.0
23-002,59,FINISHING,"Check BOM, Pack Parts",0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,75.0,138.0,172.5,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-09-05 06:00:00,3.0
23-002,60,INSPECTION,QC Inspection - Final & L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,61,SHIPPING,Load on Truck,0.0,6.0,6.0,0.0,4.0,0.0,120.0,0.0,94.0,276.0,216.2,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-09-05 06:00:00,4.0
23-003,0,PRE FAB,Receive Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,1,INSPECTION,UT Top & Bottom Heads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,2,PRE FAB,Cut Nozzle Pipe and Clean,0.0,7.0,7.0,0.0,7.0,0.0,140.0,0.0,183.0,322.0,420.9,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-10 06:00:00,7.0
23-003,3,PRE FAB,Build Nozzles-Weld,0.0,15.0,15.0,0.0,26.0,0.0,300.0,0.0,747.0,690.0,1687.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,26.0
23-003,4,PRE FAB,Build Repads for Nozzles,0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,79.0,92.0,181.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,2.0
23-003,5,PRE FAB,"B&C parts-lugs, supp, etc",0.0,20.0,20.0,0.0,14.0,0.0,400.0,0.0,490.0,920.0,945.3,0.0,0.0,0.0,0.0,C,75.0,0.0,,,,2023-07-03 06:00:00,14.0
23-003,6,PRE FAB,Build Supports,0.0,6.0,6.0,0.0,8.0,0.0,120.0,0.0,188.0,276.0,432.4,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,8.0
