Packlist_Header,1106,18,2,1,1,"Packlist (varchar), Customer_Vendor (varchar), Invoice (varchar), Ship_To (int), Ship_Via (varchar), Contact (int), Packlist_Date (datetime), Type (varchar), Invoiced (bit), Comment (text), Last_Updated (datetime), Freight_Amt (float), BOL_Number (varchar), Carrier_Bill_To (int), BOL_Terms (smallint), Third_Party_Acct (varchar), ObjectID (uniqueidentifier), QB_Ready (bit)"
AddressState,1093,5,1,0,0,"ObjectID (uniqueidentifier), CountryCode (varchar), StateCode (varchar), StateName (varchar), Last_Updated (datetime)"
IdentityLog,1076,3,0,0,0,"Spid (int), TableName (varchar), KeyValue (int)"
Material_Location,966,9,3,2,0,"Material_LocationKey (int), Material_Location (int), Location_ID (varchar), Material (varchar), Lot (varchar), On_Hand_Qty (float), Unit_Cost (float), Last_Updated (datetime), ObjectID (uniqueidentifier)"
Vendor_Material,966,10,1,0,0,"Vendor_Material (varchar), Vendor (varchar), Material_Owner (varchar), Vendor_Reference (varchar), Sell_Price (float), Trade_Currency (int), Lead_Days (int), Price_Unit (varchar), Owner_Type (int), Last_Updated (datetime)"
Tax_Detail,854,9,1,0,0,"Tax_Detail (varchar), Owner_ID (varchar), Owner_Type (int), Taxer (varchar), Rate (float), Tax_Amt (float), Last_Updated (datetime), Post_GL (bit), GL_Account (varchar)"
Vendor,778,22,2,1,10,"Vendor (varchar), User_Values (int), Ship_Via (varchar), Tax_ID (varchar), Tax_Code (varchar), GL_Account (varchar), Terms (varchar), Name (varchar), Email_Address (varchar), URL (varchar), Status (varchar), Vendor_Since (datetime), Our_Account_ID (varchar), Lead_Days (smallint), Send_1099 (bit), Currency_Def (int), Note_Text (text), Last_Updated (datetime), Acct_Mgr (varchar), Rating (int), QB_ID (varchar), Send_Report_By_Email (bit)"
User_Values,515,16,1,0,8,"User_ValuesKey (int), User_Values (int), Date1 (datetime), Date2 (datetime), Text1 (varchar), Text2 (varchar), Text3 (varchar), Text4 (varchar), Text5 (varchar), Amount1 (money), Amount2 (money), Numeric1 (float), Numeric2 (float), Decimal1 (float), Note_Text (text), Last_Updated (datetime)"
CA_ProjectedCashFlow,463,50,1,0,0,"CA_PCF_ID (int), UserID (varchar), InflowBeginningBalance (float), InflowAdjustment (float), InflowEffectiveBalance (float), InflowEndingBalance (float), OutflowBeginningBalance (float), OutflowEffectiveBalance (float), OutflowEndingBalance (float), OutflowAdjustment (float), BankBeginningBalance (float), BankAdjustment (float), BankEffectiveBalance (float), BankEndingBalance (float), EndingBalance (float), ToDate (datetime), PeriodType (int), InTermsType (int), InAdjustType (int), InTermsMoments (int), InPostPonetype (int), InPostPoneMoments (int), InDiscountType (int), OutTermsType (int), OutAdjustType (int), OutTermsMoments (int), OutPostPonetype (int), OutPostPoneMoments (int), OutDiscountType (int), StartDate (datetime), EndDate (datetime), Title (varchar), Inflow (float), Outflow (float), NetInflow (float), ProjectedBalance (float), CashFlowDate (datetime), CashflowAmount (float), Coefficient (int), ID (varchar), Source (varchar), EffectiveTermsDays (int), ProjectionInclusion (bit), InvoiceDate (datetime), DiscountDate (datetime), DiscountDays (int), DiscountPercent (float), BusinessPartner (varchar), Category1 (varchar), Category2 (varchar)"
Customer,388,29,2,1,4,"Customer (varchar), Sales_Rep (varchar), User_Values (int), Terms (varchar), Type (varchar), Ship_Via (varchar), Sales_Code (varchar), Tax_Code (varchar), Name (varchar), Email_Address (varchar), URL (varchar), Status (varchar), Ship_Lead_Days (smallint), Print_Statement (bit), Credit_Limit (money), Curr_Balance (money), Customer_Since (datetime), Accept_BO (bit), Pricing_Level (varchar), Partner (varchar), Currency_Def (int), Note_Text (text), Last_Updated (datetime), Tax_ID (varchar), Acct_Mgr (varchar), Rating (int), QB_ID (varchar), Send_Report_By_Email (bit), PST_ID (varchar)"
